순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행일자,분야
27,9788965422945,S000001020229,해커스 구문독해 100: 100개 필수구문으로 영어 직독직해,"16,900","15,210",10%,5%,840,해커스 어학연구소,해커스어학연구소,20231204,외국어
28,9788965422709,S000001020212,왕초보 영어회화 10분의 기적: 기초패턴으로 말하기,"11,900","10,710",10%,5%,590,해커스어학연구소,해커스어학연구소,20230417,외국어
29,9788994553092,S000001551366,보카바이블 4.0 세트,"32,000","28,800",10%,5%,"1,600",허민,스텝업,20180612,외국어
30,9791171010523,S000212052983,거의 모든 묘사 표현의 영어,"22,000","19,800",10%,5%,"1,100",최주연,사람in,20240126,외국어
1,9791195795529,S000001967752,삐뽀삐뽀 119 이유식,"18,900","17,010",10%,5%,940,하정훈,유니책방,20171201,요리
2,9791188601387,S000001916557,오늘은 아무래도 덮밥,"4,300","3,870",10%,5%,210,이마이 료,참돌,20200612,요리
3,9788934980599,S000000597566,밥을 지어요,"17,800","16,020",10%,5%,890,김혜경,김영사,20180209,요리
4,9791192512419,S000208431435,최강록의 요리 노트,"16,800","15,120",10%,5%,840,최강록,클,20230814,요리
5,9791168222724,S000212576919,뿐이 토핑 이유식,"29,800","26,820",10%,5%,"1,490",정주희,서사원,20240226,요리
6,9791130653044,S000213326414,홀썸의 집밥 예찬,"25,000","22,500",10%,5%,"1,250",홀썸모먼트,다산라이프,20240521,요리
7,9791164380381,S000001827526,백종원이 추천하는 집밥 메뉴(애장판),"32,000","28,800",10%,5%,"1,600",백종원,서울문화사,20200807,요리
8,9788931455625,S000000554988,더 푸드 랩(The Food Lab),"55,000","49,500",10%,5%,"2,750",J. Kenji Lopez-Alt,영진닷컴,20170628,요리
9,9791188601233,S000001916547,오늘의 일인분 일식,"4,300","3,870",10%,5%,210,베터홈 협회,참돌,20190617,요리
10,9791129710895,S000209352471,초간단 집밥 다이어트 레시피,"19,000","17,100",10%,5%,950,겨울딸기 강지현,메가스터디북스,20231005,요리
11,9791192445328,S000201598058,한 끼 뚝딱! 맘 편한 토핑 이유식,"21,000","18,900",10%,5%,"1,050",율마(오애진),온더페이지,20230503,요리
12,9788969525390,S000201507097,김대석 셰프의 집밥 레시피,"18,000","16,200",10%,5%,900,김대석,경향BP,20230426,요리
13,9791195616169,S000001965106,아이주도 이유식 유아식 매뉴얼 세트,"23,500","21,150",10%,5%,"1,170",BLW 연구소,아퍼블리싱,20210831,요리
14,9791190118613,S000211500706,생선 바이블,"35,000","31,500",10%,5%,"1,750",김지민,북커스,20231215,요리
15,9791140702251,S000200394092,365일 반찬 걱정 없는 책,"27,000","24,300",10%,5%,"1,350",송혜영(욜로리아),길벗,20221209,요리
16,9788969525888,S000213640873,김대석 셰프의 집밥 레시피 2,"18,000","16,200",10%,5%,900,김대석,경향BP,20240703,요리
17,9791158464073,S000211737960,맛있는 지중해식 레시피,"19,000","17,100",10%,5%,950,김형미 외,비타북스,20231229,요리
18,9791156162124,S000001735572,샐러드에 반하다,"16,000","14,400",10%,5%,800,장연정,리스컴,20210518,요리
19,9791198129161,S000202800489,채소 식탁,"19,000","17,100",10%,5%,950,김경민,래디시,20230719,요리
20,9791196533007,S000001977607,튼이 이유식,"22,000","19,800",10%,5%,"1,100",정주희,서사원,20190103,요리
21,9791191994308,S000213906626,셰프의 가벼운 레스토랑,"21,000","18,900",10%,5%,"1,050",송사월,용감한 까치,20240730,요리
